"Comparison between Results_06_2024_Week_4 and Results_07_2024_Week_1",""
"Date Produced:","03-Jul-2024"
"Number of New Products:","1"
"Number of Retired Products:","45"

New Products:
"company","product_type","product_name"
"AIA","Savings/Investment","A-Life Wealth Prestige"

Retired Products:
"company","product_type","product_name"
"AIA","Savings/Investment","A-Life Wealth Treasure"
"Zurich","TBD (H&P/CI/Medical)","Critical Care"
"Zurich","TBD (H&P/CI/Medical)","Critical Care Essential"
"Zurich","Life","Critical Care Premium Waiver"
"Zurich","TBD","Domestic Maid Insurance Scheme"
"Zurich","TBD (H&P/CI/Medical)","Early Care Critical Illness"
"Zurich","TBD","Fire Insurance"
"Zurich","TBD (H&P/CI/Medical)","Flex Junior Critical Illness"
"Zurich","TBD (H&P/CI/Medical)","Flex Lady Critical Illness"
"Zurich","TBD (H&P/CI/Medical)","Flex Maternity Care"
"Zurich","Misc.","Golferâ€™s Insurance"
"Zurich","TBD (H&P/CI/Medical)","Hospital & Surgical Benefit"
"Zurich","TBD (H&P/CI/Medical)","Hospital Income Plus"
"Zurich","H&P","Individual Personal Accident"
"Zurich","Life","Max Golden Wanita Protection"
"Zurich","TBD (H&P/CI/Medical)","MaxMedic"
"Zurich","Life","PA Protector and PA Medicare"
"Zurich","H&P","Personal Sentinel V3 Plus"
"Zurich","Life","Protect All 110 EVO"
"Zurich","TBD","School Personal Accident"
"Zurich","Savings","Super Wealth Plan"
"Zurich","Savings, Life","Teras Perdana"
"Zurich","Motor","Z-Drive Assist"
"Zurich","Motor","Z-Driver"
"Zurich","TBD","Z-HomeProtect"
"Zurich","TBD (H&P/CI/Medical)","Z-MedProtect"
"Zurich","Motor","Z-Rider"
"Zurich","Travel","Z-Travel Insurance (Domestic)"
"Zurich","Travel","Z-Travel Insurance (International)"
"Zurich","Life","Zurich Essential Cover"
"Zurich","Life","Zurich Everlasting Cover"
"Zurich","Savings","Zurich Favour8"
"Zurich","Savings","Zurich Favour8 Guaranteed Acceptance"
"Zurich","TBD (H&P/CI/Medical)","Zurich Infinite Care"
"Zurich","Investment","Zurich Max1nvest"
"Zurich","Life, TBD","Zurich Multi Shield"
"Zurich","Savings, Life, TBD","Zurich Prestige Cover"
"Zurich","Life","Zurich SureCover"
"Zurich","Life","Zurich TermLife"
"Zurich","Investment, Life","Zurich ValueLife"
"Zurich","Investment, Life, TBD","Zurich ValueLife Junior"
"Zurich","Investment, Life","Zurich ValueLife Pluz"
"Zurich","Investment, Life, TBD","Zurich ValueLife Premier"
"Zurich","TBD (H&P/CI/Medical)","Zurich iCare Essential"
"Zurich","TBD (H&P/CI/Medical)","Zurich iCare Medic"
