Comparison between Results_07_2024_Week_3 and Results_07_2024_Week_4,,,,,
Date Produced:,26-Jul-24,,,,
Number of New Products:,256,,,,
Number of Retired Products:,7,,,,
,,,,,
New Products:,,,,,
company,product_type,product_name,insurance_type,discovered_place,Remarks
AIA,Savings/Investment,A-Life Wealth Treasure,Life Insurance,Insurer,Product Relaunch
Allianz,Home,Allianz Smart Home Insurance,General Insurance,Bank,Standard Chartered
Allianz,Motor,Enhanced Road Warrior,General Insurance,Bank,Standard Chartered
Allianz,Investment,HSBC's EliteCare Plus,Life Insurance,Bank,HSBC
Allianz,Investment,HSBC's EliteSaver SP GIO,Life Insurance,Bank,HSBC
Allianz,Investment,HSBC's EliteWealth,Life Insurance,Bank,HSBC
Allianz,Life,HSBC's FamilyCare Plan,Life Insurance,Bank,HSBC
Allianz,"Life, H&P",HSBC's ProtectCare Plan,Life Insurance,Bank,HSBC
Allianz,Liability,HSBC's Reducing Term Assurance,Life Insurance,Bank,HSBC
Allianz,NA,HSBC's Universal AssuredTreasure,Life Insurance,Bank,HSBC
Allianz,Savings,HSBC's UniversalIncome Plan,Life Insurance,Bank,HSBC
Allianz,Investment,HSBC's UniversalLegacy Plan,Life Insurance,Bank,HSBC
Allianz,"Savings, Life",HSBC's UniversalTreasure Plus,Life Insurance,Bank,HSBC
Allianz,Motor,Motor Comprehensive Cover,General Insurance,Bank,Standard Chartered
Allianz,Travel,Travel,General Insurance,Bank,Standard Chartered
Allianz,Travel,Travel Care,General Insurance,Bank,HSBC
AmMetLife,Savings/Investment,AmCapital,Life Insurance,Insurer,Due to last week's page down
AmMetLife,Life (credit-related),AmMetLife AutoLife,Life Insurance,Insurer,Due to last week's page down
AmMetLife,TBD,AutoSecure-i,Family Takaful,Insurer,Due to last week's page down
AmMetLife,Life,Cahaya-i Care,Family Takaful,Insurer,
AmMetLife,Critical Illness,CriticalEase,Life Insurance,Insurer,Due to last week's page down
AmMetLife,Savings/Investment,EduCare-i Link,Family Takaful,Insurer,Due to last week's page down
AmMetLife,TBD,FinanceSecure-i,Family Takaful,Insurer,Due to last week's page down
AmMetLife,TBD,Flexi TermLife,Life Insurance,Insurer,Due to last week's page down
AmMetLife,"Life, Savings/Investment, H&P/Medical",FlexiCare-i Plus,Family Takaful,Insurer,Due to last week's page down
AmMetLife,"Life, Savings/Investment, H&P/Medical",FlexiSecure-i Link,Family Takaful,Insurer,Due to last week's page down
AmMetLife,Savings/Investment,GoldenCare-i Style,Family Takaful,Insurer,Due to last week's page down
AmMetLife,Savings/Investment,GoldenSecure-i Style,Family Takaful,Insurer,Due to last week's page down
AmMetLife,TBD,Group Secure-i,Family Takaful,Insurer,Due to last week's page down
AmMetLife,H&P,HCC BoostUp + HealthCare Choice (Stand-Alone Medical Plan),Life Insurance,Insurer,Due to last week's page down
AmMetLife,H&P,Health Smart Rider,Life Insurance,Insurer,Due to last week's page down
AmMetLife,H&P,HealthCare Choice II Rider + HCC BoostUp II Rider,Life Insurance,Insurer,Due to last week's page down
AmMetLife,H&P,HealthCare Daily Cash,Life Insurance,Insurer,Due to last week's page down
AmMetLife,Critical Illness,HealthCare Secure,Life Insurance,Insurer,Due to last week's page down
AmMetLife,TBD,HomeSecure-i,Family Takaful,Insurer,Due to last week's page down
AmMetLife,"Life, Savings/Investment",LegacySecure-i Link,Family Takaful,Insurer,Due to last week's page down
AmMetLife,Life (credit-related),Level Term Assurance,Life Insurance,Insurer,Due to last week's page down
AmMetLife,"Life, Savings/Investment",Protect-i Budi,Family Takaful,Insurer,Due to last week's page down
AmMetLife,Life,Protect20,Life Insurance,Insurer,Due to last week's page down
AmMetLife,Life,ProtectEase,Life Insurance,Insurer,Due to last week's page down
AmMetLife,Life,ProtectElite II,Life Insurance,Insurer,Due to last week's page down
AmMetLife,H&P,ProtectIncome,Life Insurance,Insurer,Due to last week's page down
AmMetLife,Life,ProtectLink,Life Insurance,Insurer,Due to last week's page down
AmMetLife,Life,ProtectPlus,Life Insurance,Insurer,Due to last week's page down
AmMetLife,Critical Illness,ProtectPrime39,Life Insurance,Insurer,Due to last week's page down
AmMetLife,"Life, Savings/Investment",ProtectSecure-i Murni,Family Takaful,Insurer,Due to last week's page down
AmMetLife,Life (credit-related),Reducing Term Assurance,Life Insurance,Insurer,Due to last week's page down
AmMetLife,H&P/Medical,i-Am Care,Family Takaful,Insurer,Due to last week's page down
AmMetLife,Life,i-Am Protect,Family Takaful,Insurer,Due to last week's page down
AmMetLife,Life,i-Am Shield,Family Takaful,Insurer,Due to last week's page down
AmMetLife,Savings/Investment,i.Am Wealth Builder,Life Insurance,Insurer,Due to last week's page down
Etiqa,Savings/Investment,Smart Golden Life,Life Insurance,Bank,Maybank
Etiqa,H&P,Takaful Buddy PA Crime Shield,General Takaful,Bank,Bank Rakyat
Etiqa,Life,Takaful Hayati,Family Takaful,Bank,Bank Rakyat
Etiqa,H&P,Takaful PA Plus (Telemarketing),General Takaful,Bank,Bank Rakyat
Etiqa,H&P,Takaful Privilege PA (Telemarketing),General Takaful,Bank,Bank Rakyat
Etiqa,Travel,Takaful TripCare 360,General Takaful,Bank,Bank Rakyat
FWD,Life,BSN Qaseh,Life Insurance,Bank,BSN
FWD,Life,BSN Qaseh Bakti Plus,Life Insurance,Bank,BSN
FWD,Life,BSN Qasehlink Pintar,Life Insurance,Bank,BSN
Generali,Life,AFFIN EZ Protect,Life Insurance,Bank,Affin
Generali,Life,AFFIN Flex Protector+,Life Insurance,Bank,Affin
Generali,Life,AFFIN Maximiser,Life Insurance,Bank,Affin
Generali,Life,AFFIN Secure Prime+,Life Insurance,Bank,Affin
Generali,H&P,Group Personal Accident (GPA),General Insurance,Bank,Affin
Generali,Motor,Guaranteed Auto Protection (GAP) Insurance,General Insurance,Bank,Affin
Generali,Travel,Jom Lokal Travel,General Insurance,Bank,Affin
Generali,Motor,Private Car,General Insurance,Bank,Affin
Generali,Life,Secure Enhanced Plus,Life Insurance,Bank,Affin
Generali,H&P,SmartStudent Care,General Insurance,Bank,Affin
Generali,Travel,SmartTraveller Enhanced (Annual Plan),General Insurance,Bank,Affin
Generali,Travel,SmartTraveller Enhanced (Single Trip Plan),General Insurance,Bank,Affin
Generali,H&P/CI/Medical,iMed,Insurance,Bank,Affin
Great Eastern,Life,An-Nur,Family Takaful,Bank,MBSB
Great Eastern,Savings,Empower-i,Family Takaful,Bank,OCBC
Great Eastern,Life/Medical/CI/H&P,Family Gift-i,Family Takaful,Bank,OCBC
Great Eastern,Investment,Legacy-i,Family Takaful,Bank,OCBC
Great Eastern,Investment,Max Step-Up,Life Insurance,Bank,OCBC
Great Eastern,Savings,Max Yield,Life Insurance,Bank,OCBC
Great Eastern,Savings,MaxEmpower,Life Insurance,Bank,OCBC
Great Eastern,Life/Medical/CI/H&P,One Plan-i,Family Takaful,Bank,OCBC
Great Eastern,Savings,Supreme-i,Family Takaful,Bank,OCBC
Great Eastern,Travel,Travel Mate,General Insurance,Bank,OCBC
Hong Leong Assurance,Motor,Car Life,General Insurance,Bank,Hong Leong Bank
Hong Leong Assurance,Home,Hong Leong Credit Protector,General Insurance,Bank,Hong Leong Bank
Hong Leong Assurance,Home,Hong Leong Credit Protector with Dread Disease,General Insurance,Bank,Hong Leong Bank
Hong Leong Assurance,Liability,Hong Leong Credit Shield Premier,General Insurance,Bank,Hong Leong Bank
Hong Leong Assurance,Investment,Hong Leong One SMART Insurance,Life Insurance,Bank,Hong Leong Bank
Hong Leong Assurance,Life,Hong Leong SMART Biz Term Insurance,Life Insurance,Bank,Hong Leong Bank
Hong Leong Assurance,Life,Hong Leong SMART Cash Insurance,Life Insurance,Bank,Hong Leong Bank
Hong Leong Assurance,Investment,Hong Leong SMART Income Plus Insurance ,Life Insurance,Bank,Hong Leong Bank
Hong Leong Assurance,Investment,Hong Leong SMART Protect Plus Insurance,Life Insurance,Bank,Hong Leong Bank
Hong Leong Assurance,Investment,Hong Leong SMART Protect Vantage Insurance,Life Insurance,Bank,Hong Leong Bank
Hong Leong Assurance,Investment,Hong Leong SMART3 Shield Insurance,Life Insurance,Bank,Hong Leong Bank
Hong Leong Assurance,Investment,Hong Leong SMART5 Flexi Insurance,Life Insurance,Bank,Hong Leong Bank
Liberty,H&P,EZ Smart Plan,General Insurance,Bank,UOB
Liberty,H&P,Ideal Care,General Insurance,Bank,UOB
Liberty,Motor,Motorist's Companion Insurance,General Insurance,Bank,UOB
Liberty,Misc.,Personal Protection,General Insurance,Bank,UOB
Liberty,H&P,Premier Care Cash Plan,General Insurance,Bank,UOB
Liberty,H&P,Revo Care Plan,General Insurance,Bank,UOB
Liberty,Travel,Travel Insurance,General Insurance,Bank,UOB
MCIS,Savings,EduSecure,Life Insurance,Insurer,Due to last week's page down
MCIS,Life Insurance,EzyProtect,Life Insurance,Insurer,Due to last week's page down
MCIS,Savings,EzySaver,Life Insurance,Insurer,Due to last week's page down
MCIS,TBD,Group Term Life (GTL),Life Insurance,Insurer,Due to last week's page down
MCIS,Savings,Growth Saver,Life Insurance,Insurer,Due to last week's page down
MCIS,H&P,LadyCare,Life Insurance,Insurer,Due to last week's page down
MCIS,Investment,M-Fortune Link,Life Insurance,Insurer,Due to last week's page down
MCIS,H&P,MYEarly Critical Aid,Life Insurance,Insurer,Due to last week's page down
MCIS,H&P,MaxHealth Plan,Life Insurance,Insurer,Due to last week's page down
MCIS,Savings,MaxSaver,Life Insurance,Insurer,Due to last week's page down
MCIS,TBD,MediGap Care,Life Insurance,Insurer,Due to last week's page down
MCIS,TBD,MyCritical Cover,Life Insurance,Insurer,Due to last week's page down
MCIS,TBD,MyHospital Benefit,Life Insurance,Insurer,Due to last week's page down
MCIS,TBD,MyLife Protect,Life Insurance,Insurer,Due to last week's page down
MCIS,Investment,PeopleLink,Life Insurance,Insurer,Due to last week's page down
MCIS,Investment,PrimeLink,Life Insurance,Insurer,Due to last week's page down
MCIS,TBD,SME Care+,Life Insurance,Insurer,Due to last week's page down
MCIS,Investment,SecureInvest,Life Insurance,Insurer,Due to last week's page down
MCIS,Life Insurance,SuperSeries,Life Insurance,Insurer,Due to last week's page down
MCIS,Savings,Wealth Multiplier,Life Insurance,Insurer,Due to last week's page down
MSIG,Home,1 Home Plus,General Insurance,Bank,Hong Leong Bank
MSIG,Medical,Critical Illness Plan,Life Insurance,Bank,Hong Leong Bank
MSIG,Home,Flexi Home Guard Insurance,General Insurance,Bank,Hong Leong Bank
MSIG,H&P,Flexi Protector Personal Accident Insurance,General Insurance,Bank,Hong Leong Bank
MSIG,Misc.,Safe Deposit Locker Insurance,General Insurance,Bank,Hong Leong Bank
MSIG,Travel,Travel Insurance,General Insurance,Bank,Hong Leong Bank
Prudential,Life,BSN Fitrah,Family Takaful,Bank,BSN
Prudential,Life,BSN Takaful Makmur,Family Takaful,Bank,BSN
Prudential,Life,BSN Takaful Sakinah,Family Takaful,Bank,BSN
Prudential,Life,Group EssentialLife (SP),Life Insurance,Bank,UOB
Prudential,Medical,Medical Plus Solution,Life Insurance,Bank,UOB
Prudential,Medical,Medical Plus Solutions,Life Insurance,Bank,UOB
Prudential,Life,PRUCancer Safe,Life Insurance,Bank,Standard Chartered
Prudential,Life,PRUCover Plus,Life Insurance,Bank,UOB
Prudential,Investment,PRUEnhanced Cover,Life Insurance,Bank,UOB
Prudential,Life,PRUEnrich Gain,Life Insurance,Bank,UOB
Prudential,Investment,PRUGlobal Series,Life Insurance,Bank,UOB
Prudential,Life,PRULife Safe,Life Insurance,Bank,Standard Chartered
Prudential,Investment,PRULink Cover,Life Insurance,Bank,UOB
Prudential,Investment,PRULink Supreme,Life Insurance,Bank,UOB
Prudential,Investment,PRUMax Cover,Life Insurance,Bank,UOB
Prudential,Life,PRUMax Plus,Life Insurance,Bank,UOB
Prudential,Life,PRUMedic Safe,Life Insurance,Bank,Standard Chartered
Prudential,Investment,PRUMillion Cover,Life Insurance,Bank,UOB
Prudential,Investment,PRUMillion Cover 2.0,Life Insurance,Bank,UOB
Prudential,"Savings/Investment, Savings",PRUSignature,Life Insurance,Bank,Standard Chartered
Prudential,Life,PRUSignature Ace,Life Insurance,Bank,Standard Chartered
Prudential,Life,PRUSignature Assure,Life Insurance,Bank,Standard Chartered
Prudential,Savings,PRUSignature Boost,Life Insurance,Bank,Standard Chartered
Prudential,Life,PRUSignature Infinite,Life Insurance,Bank,Standard Chartered
Prudential,Life,PRUSignature Protect,Life Insurance,Bank,Standard Chartered
Prudential,Savings/Investment,PRUSignature Reserve,Life Insurance,Bank,Standard Chartered
Prudential,Savings,PRUSignature Treasure,Life Insurance,Bank,Standard Chartered
Prudential,Life,PRUSignature Vanguard,Life Insurance,Bank,Standard Chartered
Syarikat Takaful,Life,AFFIN Takaful myFlexi,Family Takaful,Bank,Affin
Syarikat Takaful,Life,AFFIN Takaful myWealth Invest,Family Takaful,Bank,Affin
Syarikat Takaful,H&P,AFFIN Takaful myWealth Secure,General Takaful,Bank,Affin
Syarikat Takaful,Liability,Automobile Financing Takaful Plan,Family Takaful,Bank,Bank Islam
Syarikat Takaful,Liability,Decreasing Term Takaful (DTT),Family Takaful,Bank,Bank Rakyat
Syarikat Takaful,Liability,Group Credit Family Takaful,Family Takaful,Bank,Bank Islam
Syarikat Takaful,Life,M-Zahra First Takaful,Family Takaful,Bank,Bank Muamalat
Syarikat Takaful,Life,M-Zahra Flexi Takaful,Family Takaful,Bank,Bank Muamalat
Syarikat Takaful,Life,M-Zahra Income Plus Takaful,Family Takaful,Bank,Bank Muamalat
Syarikat Takaful,Life,M-Zahra Income Takaful,Family Takaful,Bank,Bank Muamalat
Syarikat Takaful,Life,M-Zahra Invest Prime Takaful,Family Takaful,Bank,Bank Muamalat
Syarikat Takaful,Home,Mortgage Term Takaful,Family Takaful,Bank,Bank Islam
Syarikat Takaful,Life,Takaful GPA Bank Islam,General Takaful,Bank,Bank Islam
Syarikat Takaful,H&P,Takaful myClick PA,Family Takaful,Bank,Bank Islam
Syarikat Takaful,Travel,Takaful myClick Travel PA,Family Takaful,Bank,Bank Islam
Syarikat Takaful,H&P,Takaful myElite PA (Telemarketing),General Takaful,Bank,Bank Islam
Syarikat Takaful,"Home, Fire",Takaful myFire,General Takaful,Bank,"Bank Islam, Affin"
Syarikat Takaful,Home,Takaful myHome Content,General Takaful,Bank,"Bank Muamalat, Bank Islam, Affin"
Syarikat Takaful,Home,Takaful myHouseowners & Householders,General Takaful,Bank,"Bank Islam, Affin"
Syarikat Takaful,Life,Takaful myMediValue,Family Takaful,Bank,Bank Muamalat
Syarikat Takaful,Motor,Takaful myMotor,General Takaful,Bank,"Bank Muamalat, Bank Islam, Affin"
Syarikat Takaful,H&P,Takaful myPA Care,General Takaful,Bank,"Bank Muamalat, Bank Islam, Affin"
Syarikat Takaful,H&P,Takaful myPlus PA (Telemarketing),General Takaful,Bank,Bank Islam
Syarikat Takaful,Investment,Takaful myWealth Plus,Family Takaful,Bank,Bank Islam
Takaful Ikhlas,Fire,Fire Houseowner Takaful,General Takaful,Bank,MBSB
Takaful Ikhlas,Fire,Fire and Houseowner Takaful,General Takaful,Bank,Bank Rakyat
Takaful Ikhlas,Liability,Group Credit Term Takaful (GCTT),General Takaful,Bank,MBSB
Takaful Ikhlas,H&P,Group Personal Accident (GPA),General Takaful,Bank,MBSB
Takaful Ikhlas,H&P,Group Personal Accident Takaful – Snatch Theft,General Takaful,Bank,MBSB
Takaful Ikhlas,Liability,Hire Purchase Reducing Term Takaful (HPRTT),General Takaful,Bank,Bank Rakyat
Takaful Ikhlas,H&P,IKHLAS Group Personal Accident Takaful (Long Term),General Takaful,Bank,BSN
Takaful Ikhlas,Home,IKHLAS House Owner / House Holder Takaful,General Takaful,Bank,BSN
Takaful Ikhlas,Savings,M-Edu Plus Takaful,General Takaful,Bank,MBSB
Takaful Ikhlas,Medical,M-First Takaful,General Takaful,Bank,MBSB
Takaful Ikhlas,H&P,Takaful Amani,General Takaful,Bank,Bank Rakyat
Takaful Ikhlas,Life,Takaful Amani Didik,Family Takaful,Bank,Bank Rakyat
Takaful Ikhlas,Savings,Takaful Amani Plus,"Family Takaful, General Takaful",Bank,Bank Rakyat
Zurich,TBD (H&P/CI/Medical),CancerCare,Family Takaful,Insurer,Due to last week's page down
Zurich,TBD (H&P/CI/Medical),Critical Care,Life Insurance,Insurer,Due to last week's page down
Zurich,TBD (H&P/CI/Medical),Critical Care Essential,Life Insurance,Insurer,Due to last week's page down
Zurich,Life,Critical Care Premium Waiver,Life Insurance,Insurer,Due to last week's page down
Zurich,TBD,Domestic Maid Insurance Scheme,TBD (Conventional),Insurer,Due to last week's page down
Zurich,TBD (H&P/CI/Medical),Early Care Critical Illness,Life Insurance,Insurer,Due to last week's page down
Zurich,Savings,Executive20,Family Takaful,Insurer,Due to last week's page down
Zurich,TBD,Fire Takaful,General Takaful,Insurer,Due to last week's page down
Zurich,TBD (H&P/CI/Medical),Flex Junior Critical Illness,Life Insurance,Insurer,Due to last week's page down
Zurich,TBD (H&P/CI/Medical),Flex Lady Critical Illness,Life Insurance,Insurer,Due to last week's page down
Zurich,TBD (H&P/CI/Medical),Flex Maternity Care,Life Insurance,Insurer,Due to last week's page down
Zurich,Misc.,Golfer’s Insurance,General Insurance,Insurer,Due to last week's page down
Zurich,TBD (H&P/CI/Medical),Hospital & Surgical Benefit,Life Insurance,Insurer,Due to last week's page down
Zurich,TBD (H&P/CI/Medical),Hospital Income Plus,Life Insurance,Insurer,Due to last week's page down
Zurich,H&P,Individual Personal Accident,General Insurance,Insurer,Due to last week's page down
Zurich,Life,Max Golden Wanita Protection,Life Insurance,Insurer,Due to last week's page down
Zurich,TBD (H&P/CI/Medical),MaxMedic,Life Insurance,Insurer,Due to last week's page down
Zurich,TBD (H&P/CI/Medical),MediAfya,Family Takaful,Insurer,Due to last week's page down
Zurich,TBD (H&P/CI/Medical),MediPro,Family Takaful,Insurer,Due to last week's page down
Zurich,Life,PA Protector and PA Medicare,Life Insurance,Insurer,Due to last week's page down
Zurich,H&P,Patina2016,General Takaful,Insurer,Due to last week's page down
Zurich,H&P,Personal Sentinel V3 Plus,General Insurance,Insurer,Due to last week's page down
Zurich,H&P,Personal Sentinel V3 Plus Takaful,General Takaful,Insurer,Due to last week's page down
Zurich,Life,Protect All 110 EVO,Life Insurance,Insurer,Due to last week's page down
Zurich,TBD,School Personal Accident,TBD (Conventional),Insurer,Due to last week's page down
Zurich,Savings,Super Wealth Plan,Life Insurance,Insurer,Due to last week's page down
Zurich,Life,Takaful Al-Shams,Family Takaful,Insurer,Due to last week's page down
Zurich,Life,Takaful Family Hero,Family Takaful,Insurer,Due to last week's page down
Zurich,Savings,Takaful Mumtaz,Family Takaful,Insurer,Due to last week's page down
Zurich,Life,Takaful ProEssential,Family Takaful,Insurer,Due to last week's page down
Zurich,Investment,Takaful ProInvest,Family Takaful,Insurer,Due to last week's page down
Zurich,Life,Takaful ProSecure,Family Takaful,Insurer,Due to last week's page down
Zurich,Life,Takaful SureCover,Family Takaful,Insurer,Due to last week's page down
Zurich,Life,Takaful Term 80,Family Takaful,Insurer,Due to last week's page down
Zurich,Investment,Takafulink Single Invest,Family Takaful,Insurer,Due to last week's page down
Zurich,"Savings, Life",Teras Perdana,Life Insurance,Insurer,Due to last week's page down
Zurich,Motor,Z-Drive Assist,General Insurance,Insurer,Due to last week's page down
Zurich,Motor,Z-Drive Assist Takaful,General Takaful,Insurer,Due to last week's page down
Zurich,Motor,Z-Driver,General Insurance,Insurer,Due to last week's page down
Zurich,Motor,Z-Driver Takaful – Car Takaful Plan,General Takaful,Insurer,Due to last week's page down
Zurich,TBD,Z-HomeProtect,General Insurance,Insurer,Due to last week's page down
Zurich,TBD,Z-HomeProtect Takaful,General Takaful,Insurer,Due to last week's page down
Zurich,TBD (H&P/CI/Medical),Z-MedProtect,Life Insurance,Insurer,Due to last week's page down
Zurich,Motor,Z-Rider,General Insurance,Insurer,Due to last week's page down
Zurich,Motor,Z-Rider Takaful – Motorcycle Takaful Plan,General Takaful,Insurer,Due to last week's page down
Zurich,Travel,Z-Travel Insurance (Domestic),General Insurance,Insurer,Due to last week's page down
Zurich,Travel,Z-Travel Insurance (International),General Insurance,Insurer,Due to last week's page down
Zurich,Life,Zurich Essential Cover,Life Insurance,Insurer,Due to last week's page down
Zurich,Life,Zurich Everlasting Cover,Life Insurance,Insurer,Due to last week's page down
Zurich,Savings,Zurich Favour8,Life Insurance,Insurer,Due to last week's page down
Zurich,Savings,Zurich Favour8 Guaranteed Acceptance,Life Insurance,Insurer,Due to last week's page down
Zurich,TBD (H&P/CI/Medical),Zurich Infinite Care,Life Insurance,Insurer,Due to last week's page down
Zurich,Investment,Zurich Max1nvest,Life Insurance,Insurer,Due to last week's page down
Zurich,"Life, TBD",Zurich Multi Shield,"Life Insurance, TBD (Conventional)",Insurer,Due to last week's page down
Zurich,"Savings, Life, TBD",Zurich Prestige Cover,"Life Insurance, TBD (Conventional)",Insurer,Due to last week's page down
Zurich,Life,Zurich SureCover,Life Insurance,Insurer,Due to last week's page down
Zurich,Life,Zurich TermLife,Life Insurance,Insurer,Due to last week's page down
Zurich,"Investment, Life",Zurich ValueLife,Life Insurance,Insurer,Due to last week's page down
Zurich,"Investment, Life, TBD",Zurich ValueLife Junior,"Life Insurance, TBD (Conventional)",Insurer,Due to last week's page down
Zurich,"Investment, Life",Zurich ValueLife Pluz,Life Insurance,Insurer,Due to last week's page down
Zurich,"Investment, Life, TBD",Zurich ValueLife Premier,"Life Insurance, TBD (Conventional)",Insurer,Due to last week's page down
Zurich,TBD (H&P/CI/Medical),Zurich iCare Essential,Life Insurance,Insurer,Due to last week's page down
Zurich,TBD (H&P/CI/Medical),Zurich iCare Medic,Life Insurance,Insurer,Due to last week's page down
,,,,,
Retired Products:,,,,,
company,product_type,product_name,insurance_type,discovered_place,
AIA,Savings/Investment,A-Life Wealth Venture,Life Insurance,Insurer,
AIA,TBD (Telemarketing),PB CI Care,Life Insurance,Bank,
AIA,TBD (Telemarketing),PB CI Protector,Life Insurance,Bank,
AIA,TBD (Telemarketing),PB Cancer Guard,Life Insurance,Bank,
Etiqa,Motor,Car Insurance,General Insurance,Bank,
Etiqa,Motor,Car Takaful,General Takaful,Bank,
Etiqa,Motor,Takaful Auto Credit Plan,General Takaful,Bank,
